accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,datetime
20181359R1413,2018,1359R1413,413654,429147,-1.794385,53.75852,West Yorkshire,Slight,3,1,2018-09-27,Thursday,17:09:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010851,2018-09-27T16:09:00Z
20181359R1526,2018,1359R1526,409708,441012,-1.853866,53.865249,West Yorkshire,Slight,2,1,2018-09-27,Thursday,16:55:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Roundabout,Give way or uncontrolled,B,NA,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010709,2018-09-27T15:55:00Z
20181359R1682,2018,1359R1682,414677,432476,-1.778711,53.788413,West Yorkshire,Slight,2,1,2018-09-27,Thursday,18:12:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010835,2018-09-27T17:12:00Z
20181359R1989,2018,1359R1989,415215,436470,-1.77035,53.824295,West Yorkshire,Slight,2,1,2018-09-28,Friday,20:30:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010777,2018-09-28T19:30:00Z
20181359S0459,2018,1359S0459,418142,434372,-1.726009,53.805346,West Yorkshire,Serious,1,1,2018-09-28,Friday,09:50:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010832,2018-09-28T08:50:00Z
20181359S1746,2018,1359S1746,416697,435818,-1.747873,53.81839,West Yorkshire,Serious,1,1,2018-09-28,Friday,20:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,40,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010597,2018-09-28T19:25:00Z
20181359T0008,2018,1359T0008,414846,437641,-1.775899,53.834831,West Yorkshire,Slight,2,2,2018-09-29,Saturday,00:01:00,Bradford,E08000032,E08000032,A,NA,Dual carriageway,30,Crossroads,Auto traffic signal,A,NA,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01033689,2018-09-28T23:01:00Z
20181359T1012,2018,1359T1012,416360,435390,-1.753014,53.814554,West Yorkshire,Slight,2,1,2018-09-29,Saturday,13:33:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Other junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010599,2018-09-29T12:33:00Z
2018135A10274,2018,135A10274,417430,432952,-1.7369,53.792607,West Yorkshire,Slight,2,1,2018-10-01,Monday,07:30:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010606,2018-10-01T06:30:00Z
2018135A10800,2018,135A10800,415915,432818,-1.759904,53.791451,West Yorkshire,Slight,2,1,2018-10-01,Monday,13:22:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010834,2018-10-01T12:22:00Z
2018135A11135,2018,135A11135,411280,440011,-1.829998,53.856221,West Yorkshire,Slight,2,1,2018-10-01,Monday,16:12:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010580,2018-10-01T15:12:00Z
2018135A11218,2018,135A11218,406043,441535,-1.909586,53.870004,West Yorkshire,Slight,2,1,2018-10-01,Monday,16:23:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010728,2018-10-01T15:23:00Z
2018135A11604,2018,135A11604,416095,433570,-1.757133,53.798204,West Yorkshire,Slight,2,1,2018-10-01,Monday,19:13:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01033691,2018-10-01T18:13:00Z
2018135A20374,2018,135A20374,413047,434852,-1.803352,53.809811,West Yorkshire,Slight,3,1,2018-10-02,Tuesday,09:25:00,Bradford,E08000032,E08000032,C,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010806,2018-10-02T08:25:00Z
