accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,datetime
2018135110070,2018,135110070,411057,435169,-1.83356,53.812706,West Yorkshire,Slight,1,1,2018-01-01,Monday,00:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,40,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010672,2018-01-01T00:25:00Z
2018135111193,2018,135111193,411247,437980,-1.830573,53.837967,West Yorkshire,Serious,2,1,2018-01-01,Monday,12:20:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,40,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Central refuge,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010596,2018-01-01T12:20:00Z
2018135121185,2018,135121185,410074,442149,-1.848264,53.875461,West Yorkshire,Slight,1,1,2018-01-02,Tuesday,16:50:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010706,2018-01-02T16:50:00Z
2018135131754,2018,135131754,406433,441856,-1.903649,53.872885,West Yorkshire,Slight,2,1,2018-01-03,Wednesday,17:31:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010701,2018-01-03T17:31:00Z
2018135131777,2018,135131777,418171,430367,-1.725803,53.769349,West Yorkshire,Slight,2,2,2018-01-03,Wednesday,21:23:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010815,2018-01-03T21:23:00Z
2018135141851,2018,135141851,414735,434105,-1.777754,53.803053,West Yorkshire,Slight,2,1,2018-01-04,Thursday,22:14:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010812,2018-01-04T22:14:00Z
2018135151357,2018,135151357,406867,441959,-1.897046,53.873805,West Yorkshire,Slight,2,1,2018-01-05,Friday,17:10:00,Bradford,E08000032,E08000032,A,NA,Roundabout,30,Roundabout,Give way or uncontrolled,A,NA,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010700,2018-01-05T17:10:00Z
2018135160515,2018,135160515,405205,448907,-1.922208,53.936271,West Yorkshire,Slight,1,1,2018-01-06,Saturday,10:20:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,60,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,Non-trunk,E01010638,2018-01-06T10:20:00Z
2018135160666,2018,135160666,418230,431221,-1.724858,53.777022,West Yorkshire,Slight,2,2,2018-01-06,Saturday,11:57:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010614,2018-01-06T11:57:00Z
2018135161266,2018,135161266,413422,435308,-1.797638,53.8139,West Yorkshire,Slight,2,1,2018-01-05,Friday,17:04:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010671,2018-01-05T17:04:00Z
2018135161579,2018,135161579,416169,427931,-1.756302,53.74752,West Yorkshire,Serious,1,1,2018-01-06,Saturday,20:54:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Rural,Yes,Non-trunk,E01010870,2018-01-06T20:54:00Z
2018135161965,2018,135161965,418978,430848,-1.71353,53.773643,West Yorkshire,Slight,2,1,2018-01-06,Saturday,23:30:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,Zebra,Darkness - lights lit,Fine no high winds,Frost or ice,None,None,Urban,Yes,Non-trunk,E01010822,2018-01-06T23:30:00Z
2018135170523,2018,135170523,415795,430652,-1.761835,53.771987,West Yorkshire,Slight,2,1,2018-01-07,Sunday,11:22:00,Bradford,E08000032,E08000032,A,NA,Dual carriageway,30,Crossroads,Auto traffic signal,A,NA,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010745,2018-01-07T11:22:00Z
2018135180251,2018,135180251,414881,437375,-1.77538,53.832439,West Yorkshire,Slight,1,1,2018-01-08,Monday,08:00:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01033689,2018-01-08T08:00:00Z
2018135180906,2018,135180906,406256,441065,-1.906356,53.865777,West Yorkshire,Slight,1,1,2018-01-08,Monday,14:00:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010710,2018-01-08T14:00:00Z
2018135181582,2018,135181582,411288,439015,-1.829913,53.847269,West Yorkshire,Slight,2,1,2018-01-08,Monday,19:12:00,Bradford,E08000032,E08000032,C,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Crossroads,Auto traffic signal,A,NA,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010584,2018-01-08T19:12:00Z
2018135181632,2018,135181632,415170,432990,-1.771204,53.793019,West Yorkshire,Slight,2,1,2018-01-08,Monday,18:00:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010833,2018-01-08T18:00:00Z
20181351A0289,2018,1351A0289,405435,441149,-1.918839,53.866541,West Yorkshire,Slight,2,2,2018-01-10,Wednesday,08:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010710,2018-01-10T08:25:00Z
20181351A0319,2018,1351A0319,417038,434039,-1.742791,53.80239,West Yorkshire,Slight,2,1,2018-01-10,Wednesday,08:50:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010829,2018-01-10T08:50:00Z
20181351A1486,2018,1351A1486,410087,435558,-1.848279,53.816222,West Yorkshire,Slight,2,4,2018-01-10,Wednesday,18:45:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Snow,None,None,Rural,Yes,Non-trunk,E01010587,2018-01-10T18:45:00Z
20181351A1627,2018,1351A1627,418323,433100,-1.723336,53.793907,West Yorkshire,Slight,1,1,2018-01-10,Wednesday,19:50:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,20,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights unlit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010624,2018-01-10T19:50:00Z
20181351A1846,2018,1351A1846,411085,435278,-1.833131,53.813685,West Yorkshire,Slight,2,1,2018-01-10,Wednesday,21:34:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,40,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010672,2018-01-10T21:34:00Z
20181351B0370,2018,1351B0370,416933,432289,-1.74448,53.786665,West Yorkshire,Slight,1,1,2018-01-11,Thursday,09:05:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Roundabout,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010730,2018-01-11T09:05:00Z
20181351B0726,2018,1351B0726,418075,438270,-1.726799,53.840383,West Yorkshire,Slight,2,2,2018-01-11,Thursday,12:45:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010685,2018-01-11T12:45:00Z
20181351B1058,2018,1351B1058,412022,434168,-1.818944,53.803688,West Yorkshire,Slight,2,1,2018-01-11,Thursday,15:35:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010801,2018-01-11T15:35:00Z
20181351B1350,2018,1351B1350,412749,432082,-1.807991,53.784922,West Yorkshire,Slight,1,1,2018-01-11,Thursday,18:00:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010633,2018-01-11T18:00:00Z
20181351B1497,2018,1351B1497,408246,442064,-1.876069,53.874729,West Yorkshire,Slight,1,1,2018-01-11,Thursday,16:35:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,40,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010709,2018-01-11T16:35:00Z
20181351C1019,2018,1351C1019,405557,439773,-1.917009,53.854173,West Yorkshire,Slight,1,1,2018-01-12,Friday,14:50:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010716,2018-01-12T14:50:00Z
20181351C1242,2018,1351C1242,414010,429219,-1.788982,53.759158,West Yorkshire,Slight,2,1,2018-01-12,Friday,16:40:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Other junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010851,2018-01-12T16:40:00Z
20181351D1489,2018,1351D1489,404889,448310,-1.927031,53.930908,West Yorkshire,Slight,1,1,2018-01-13,Saturday,18:25:00,Bradford,E08000032,E08000032,A,NA,Unknown,20,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - no lighting,Fine no high winds,Dry,None,None,Rural,Yes,Non-trunk,E01010638,2018-01-13T18:25:00Z
20181351E1395,2018,1351E1395,415045,445378,-1.772499,53.904364,West Yorkshire,Serious,1,1,2018-01-14,Sunday,18:03:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,20,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - no lighting,Fine no high winds,Dry,None,None,Rural,Yes,Non-trunk,E01010770,2018-01-14T18:03:00Z
20181351E1516,2018,1351E1516,413967,433856,-1.789426,53.800836,West Yorkshire,Slight,2,1,2018-01-14,Sunday,18:46:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010803,2018-01-14T18:46:00Z
20181351E1633,2018,1351E1633,406045,441586,-1.909555,53.870462,West Yorkshire,Slight,2,1,2018-01-14,Sunday,20:15:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010728,2018-01-14T20:15:00Z
20181351F0065,2018,1351F0065,415188,432472,-1.770956,53.788363,West Yorkshire,Serious,2,1,2018-01-15,Monday,01:40:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010836,2018-01-15T01:40:00Z
20181351F0364,2018,1351F0364,416169,432916,-1.756043,53.792324,West Yorkshire,Slight,1,1,2018-01-15,Monday,09:19:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010834,2018-01-15T09:19:00Z
20181351F1471,2018,1351F1471,406368,440784,-1.904659,53.86325,West Yorkshire,Slight,1,1,2018-01-15,Monday,18:21:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010704,2018-01-15T18:21:00Z
20181351G1007,2018,1351G1007,414078,434058,-1.787732,53.802648,West Yorkshire,Slight,1,1,2018-01-16,Tuesday,15:15:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Snowing no high winds,Snow,None,None,Urban,No,Non-trunk,E01010813,2018-01-16T15:15:00Z
20181351G1075,2018,1351G1075,409593,433050,-1.85586,53.793689,West Yorkshire,Slight,1,1,2018-01-16,Tuesday,15:30:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Snowing no high winds,Snow,None,None,Urban,Yes,Non-trunk,E01010797,2018-01-16T15:30:00Z
20181351H1156,2018,1351H1156,411443,433382,-1.827764,53.796636,West Yorkshire,Slight,1,1,2018-01-17,Wednesday,15:35:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Frost or ice,None,None,Urban,Yes,Non-trunk,E01010794,2018-01-17T15:35:00Z
20181351I0904,2018,1351I0904,416738,433740,-1.747362,53.799712,West Yorkshire,Slight,2,2,2018-01-18,Thursday,13:41:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,40,Other junction,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01033693,2018-01-18T13:41:00Z
20181351J0237,2018,1351J0237,404114,435126,-1.939005,53.812419,West Yorkshire,Slight,2,2,2018-01-19,Friday,06:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Snowing no high winds,Snow,None,None,Rural,Yes,Non-trunk,E01010857,2018-01-19T06:25:00Z
20181351J0296,2018,1351J0296,417199,432390,-1.740437,53.787564,West Yorkshire,Slight,2,1,2018-01-19,Friday,07:35:00,Bradford,E08000032,E08000032,A,NA,Roundabout,40,Roundabout,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining + high winds,Frost or ice,None,None,Urban,Yes,Non-trunk,E01010613,2018-01-19T07:35:00Z
20181351J0381,2018,1351J0381,405330,439954,-1.920456,53.855802,West Yorkshire,Slight,1,2,2018-01-19,Friday,08:38:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Snowing no high winds,Frost or ice,None,None,Urban,Yes,Non-trunk,E01010717,2018-01-19T08:38:00Z
20181351J1482,2018,1351J1482,411639,447593,-1.824256,53.924358,West Yorkshire,Slight,1,1,2018-01-19,Friday,18:20:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Other,Snow,None,None,Urban,No,Non-trunk,E01010695,2018-01-19T18:20:00Z
20181351K0430,2018,1351K0430,409760,432706,-1.853335,53.790595,West Yorkshire,Slight,2,1,2018-01-19,Friday,15:20:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010798,2018-01-19T15:20:00Z
20181351K0855,2018,1351K0855,414570,436851,-1.78013,53.827738,West Yorkshire,Slight,2,1,2018-01-20,Saturday,08:02:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Auto traffic signal,A,NA,None within 50 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010789,2018-01-20T08:02:00Z
20181351L0791,2018,1351L0791,417675,432346,-1.733215,53.787152,West Yorkshire,Fatal,1,5,2018-01-21,Sunday,13:35:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Snowing no high winds,Snow,None,None,Urban,Yes,Non-trunk,E01010613,2018-01-21T13:35:00Z
20181351M0968,2018,1351M0968,416999,433018,-1.743439,53.793214999999996,West Yorkshire,Slight,3,2,2018-01-22,Monday,15:02:00,Bradford,E08000032,E08000032,A,NA,Dual carriageway,30,Crossroads,Auto traffic signal,A,NA,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010606,2018-01-22T15:02:00Z
20181351M1220,2018,1351M1220,414476,432748,-1.78175,53.790863,West Yorkshire,Slight,2,1,2018-01-22,Monday,16:55:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Crossroads,Auto traffic signal,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010833,2018-01-22T16:55:00Z
20181351M1379,2018,1351M1379,417030,434121,-1.742908,53.803127,West Yorkshire,Slight,2,1,2018-01-22,Monday,18:12:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Central refuge,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010830,2018-01-22T18:12:00Z
20181351O0345,2018,1351O0345,414561,429948,-1.78059,53.765695,West Yorkshire,Slight,2,1,2018-01-22,Monday,18:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010848,2018-01-22T18:25:00Z
20181351O0372,2018,1351O0372,415105,437644,-1.771964,53.83485,West Yorkshire,Slight,2,1,2018-01-23,Tuesday,19:35:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010782,2018-01-23T19:35:00Z
20181351O0750,2018,1351O0750,419330,437091,-1.707801,53.829741,West Yorkshire,Slight,2,1,2018-01-24,Wednesday,13:00:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010689,2018-01-24T13:00:00Z
20181351O1396,2018,1351O1396,416171,438783,-1.755707,53.845056,West Yorkshire,Slight,3,3,2018-01-24,Wednesday,18:00:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights unlit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010568,2018-01-24T18:00:00Z
20181351P1206,2018,1351P1206,412703,434264,-1.8086,53.804535,West Yorkshire,Slight,3,2,2018-01-25,Thursday,16:45:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010629,2018-01-25T16:45:00Z
20181351Q0199,2018,1351Q0199,414589,434004,-1.779976,53.802149,West Yorkshire,Slight,2,1,2018-01-26,Friday,06:05:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,Other junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010812,2018-01-26T06:05:00Z
20181351Q0698,2018,1351Q0698,417895,431445,-1.729928,53.779047,West Yorkshire,Slight,2,1,2018-01-26,Friday,11:30:00,Bradford,E08000032,E08000032,A,NA,Dual carriageway,40,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010609,2018-01-26T11:30:00Z
