accident_index,accident_year,accident_reference,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
2018135110070,2018,135110070,1,1,Passenger,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
2018135111193,2018,135111193,2,1,Driver or rider,Male,NA,46 - 55,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Urban area,Least deprived 10%
2018135121185,2018,135121185,1,1,Pedestrian,Male,NA,Over 75,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Data missing or out of range,Data missing or out of range
2018135131754,2018,135131754,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Small town,Less deprived 40-50%
2018135131777,2018,135131777,1,1,Driver or rider,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
2018135131777,2018,135131777,2,2,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135141851,2018,135141851,2,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135151357,2018,135151357,1,1,Driver or rider,Female,NA,56 - 65,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 20-30%
2018135160515,2018,135160515,1,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Van / Goods vehicle (3.5 tonnes mgw or under) occupant,Urban area,Most deprived 10%
2018135160666,2018,135160666,1,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 20-30%
2018135160666,2018,135160666,2,2,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135161266,2018,135161266,2,1,Passenger,Female,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 20-30%
2018135161579,2018,135161579,1,1,Passenger,Female,NA,11 - 15,Serious,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 30-40%
2018135161965,2018,135161965,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135170523,2018,135170523,1,1,Passenger,Female,NA,Over 75,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
2018135180251,2018,135180251,1,1,Pedestrian,Male,NA,56 - 65,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Less deprived 20-30%
2018135180906,2018,135180906,1,1,Pedestrian,Female,NA,36 - 45,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Data missing or out of range,Data missing or out of range
2018135181582,2018,135181582,2,1,Passenger,Female,NA,56 - 65,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Taxi/Private hire car occupant,Data missing or out of range,Data missing or out of range
2018135181632,2018,135181632,2,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 30-40%
20181351A0289,2018,1351A0289,1,1,Driver or rider,Female,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351A0289,2018,1351A0289,2,2,Driver or rider,Male,NA,11 - 15,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Urban area,Most deprived 10%
20181351A0319,2018,1351A0319,1,1,Driver or rider,Female,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351A1486,2018,1351A1486,1,1,Driver or rider,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351A1486,2018,1351A1486,1,3,Passenger,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351A1486,2018,1351A1486,2,2,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351A1486,2018,1351A1486,2,4,Passenger,Male,NA,0 - 5,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351A1627,2018,1351A1627,1,1,Pedestrian,Female,NA,26 - 35,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Data missing or out of range,Data missing or out of range
20181351A1846,2018,1351A1846,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351B0370,2018,1351B0370,1,1,Pedestrian,Male,NA,66 - 75,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351B0726,2018,1351B0726,1,1,Driver or rider,Male,NA,66 - 75,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
20181351B0726,2018,1351B0726,1,2,Passenger,Female,NA,66 - 75,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
20181351B1058,2018,1351B1058,2,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
20181351B1350,2018,1351B1350,1,1,Pedestrian,Male,NA,56 - 65,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 30-40%
20181351B1497,2018,1351B1497,1,1,Pedestrian,Female,NA,6 - 10,Slight,On footway or verge,Unknown or other,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 40-50%
20181351C1019,2018,1351C1019,1,1,Pedestrian,Female,NA,16 - 20,Slight,"In carriageway, not crossing","Walking along in carriageway, back to traffic",Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Less deprived 40-50%
20181351C1242,2018,1351C1242,2,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle 125cc and under rider or passenger,Urban area,More deprived 20-30%
20181351D1489,2018,1351D1489,1,1,Pedestrian,Female,NA,66 - 75,Slight,Unknown or other,Unknown or other,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Small town,Less deprived 30-40%
20181351E1395,2018,1351E1395,1,1,Driver or rider,Male,NA,56 - 65,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Urban area,Less deprived 20-30%
20181351E1516,2018,1351E1516,2,1,Driver or rider,Female,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351E1633,2018,1351E1633,2,1,Driver or rider,Female,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351F0065,2018,1351F0065,1,1,Driver or rider,Male,NA,26 - 35,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Cyclist,Urban area,More deprived 20-30%
20181351F0364,2018,1351F0364,1,1,Pedestrian,Male,NA,16 - 20,Slight,"In carriageway, not crossing","In carriageway, stationary - not crossing  (standing or playing)",Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181351F1471,2018,1351F1471,1,1,Pedestrian,Female,NA,26 - 35,Slight,Crossing on pedestrian crossing facility,Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Data missing or out of range,Data missing or out of range
20181351G1007,2018,1351G1007,1,1,Pedestrian,Male,NA,11 - 15,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 20-30%
20181351G1075,2018,1351G1075,1,1,Pedestrian,Male,NA,66 - 75,Slight,On footway or verge,"Walking along in carriageway, facing traffic",Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Less deprived 40-50%
20181351H1156,2018,1351H1156,1,1,Pedestrian,Female,NA,6 - 10,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351I0904,2018,1351I0904,2,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351I0904,2018,1351I0904,2,2,Passenger,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 10-20%
20181351J0237,2018,1351J0237,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Small town,More deprived 30-40%
20181351J0237,2018,1351J0237,2,2,Driver or rider,Male,NA,56 - 65,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Rural,Less deprived 40-50%
20181351J0296,2018,1351J0296,2,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351J0381,2018,1351J0381,1,1,Pedestrian,Male,NA,6 - 10,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181351J0381,2018,1351J0381,1,2,Pedestrian,Male,NA,6 - 10,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181351J1482,2018,1351J1482,1,1,Pedestrian,Female,NA,56 - 65,Slight,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Data missing or out of range,Data missing or out of range
20181351K0430,2018,1351K0430,2,1,Pedestrian,Female,NA,56 - 65,Slight,"In carriageway, not crossing","In carriageway, stationary - not crossing  (standing or playing)",Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 20-30%
20181351K0855,2018,1351K0855,2,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351L0791,2018,1351L0791,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351L0791,2018,1351L0791,1,2,Passenger,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351L0791,2018,1351L0791,1,3,Passenger,Male,NA,21 - 25,Fatal,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351L0791,2018,1351L0791,1,4,Passenger,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 20-30%
20181351L0791,2018,1351L0791,1,5,Passenger,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351M0968,2018,1351M0968,2,1,Driver or rider,Female,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351M0968,2018,1351M0968,2,2,Passenger,Female,NA,56 - 65,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351M1220,2018,1351M1220,2,1,Driver or rider,Female,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351M1379,2018,1351M1379,1,1,Passenger,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351O0345,2018,1351O0345,1,1,Driver or rider,Male,NA,56 - 65,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Van / Goods vehicle (3.5 tonnes mgw or under) occupant,Urban area,More deprived 40-50%
20181351O0372,2018,1351O0372,1,1,Driver or rider,Female,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 20-30%
20181351O0750,2018,1351O0750,1,1,Passenger,Female,NA,11 - 15,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351O1396,2018,1351O1396,1,1,Driver or rider,Male,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351O1396,2018,1351O1396,2,2,Driver or rider,Male,NA,66 - 75,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351O1396,2018,1351O1396,3,3,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
20181351P1206,2018,1351P1206,2,1,Driver or rider,Female,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351P1206,2018,1351P1206,3,2,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351Q0199,2018,1351Q0199,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle 125cc and under rider or passenger,Urban area,More deprived 20-30%
20181351Q0698,2018,1351Q0698,1,1,Driver or rider,Female,NA,46 - 55,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 20-30%
20181351Q1366,2018,1351Q1366,1,1,Pedestrian,Female,NA,66 - 75,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181351R0401,2018,1351R0401,2,1,Driver or rider,Female,NA,56 - 65,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Rural,Less deprived 20-30%
20181351R1287,2018,1351R1287,1,1,Driver or rider,Male,NA,36 - 45,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 40-50%
20181351R1287,2018,1351R1287,2,2,Driver or rider,Male,NA,46 - 55,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351R1287,2018,1351R1287,2,3,Passenger,Male,NA,11 - 15,Serious,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351R1976,2018,1351R1976,2,1,Driver or rider,Male,NA,56 - 65,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351R1989,2018,1351R1989,2,1,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351R1989,2018,1351R1989,2,2,Passenger,Female,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351S0502,2018,1351S0502,1,1,Pedestrian,Male,NA,56 - 65,Slight,Crossing on pedestrian crossing facility,Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351S0600,2018,1351S0600,1,1,Passenger,Male,NA,11 - 15,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
20181351S0769,2018,1351S0769,2,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351S1010,2018,1351S1010,2,1,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351S1010,2018,1351S1010,2,2,Passenger,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351T0236,2018,1351T0236,1,1,Pedestrian,Female,NA,46 - 55,Serious,"In carriageway, crossing elsewhere",Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 20-30%
20181351T0886,2018,1351T0886,1,1,Pedestrian,Male,NA,16 - 20,Slight,"In carriageway, not crossing","In carriageway, stationary - not crossing  (standing or playing)",Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351U0195,2018,1351U0195,1,1,Pedestrian,Male,NA,46 - 55,Slight,Crossing on pedestrian crossing facility,Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351U1294,2018,1351U1294,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle 125cc and under rider or passenger,Urban area,More deprived 20-30%
20181351U1554,2018,1351U1554,1,1,Pedestrian,Female,NA,46 - 55,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 10-20%
20181351U1574,2018,1351U1574,1,1,Pedestrian,Male,NA,6 - 10,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351U1702,2018,1351U1702,2,1,Driver or rider,Female,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
20181351U1789,2018,1351U1789,1,1,Pedestrian,Female,NA,26 - 35,Slight,On footway or verge,Unknown or other,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351U2029,2018,1351U2029,2,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 20-30%
20181351V0332,2018,1351V0332,2,1,Driver or rider,Female,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Less deprived 20-30%
20181351V0661,2018,1351V0661,2,1,Driver or rider,Male,NA,46 - 55,Serious,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Motorcycle 125cc and under rider or passenger,Urban area,More deprived 10-20%
20181351V1437,2018,1351V1437,2,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Taxi/Private hire car occupant,Urban area,More deprived 10-20%
20181351V1498,2018,1351V1498,1,1,Pedestrian,Female,NA,36 - 45,Slight,"In carriageway, crossing elsewhere",Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351V1508,2018,1351V1508,1,1,Pedestrian,Female,NA,26 - 35,Slight,Crossing on pedestrian crossing facility,Crossing from driver's nearside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
20181351V1558,2018,1351V1558,1,1,Pedestrian,Male,NA,26 - 35,Slight,"In carriageway, crossing elsewhere",Crossing from offside - masked by  parked or stationary vehicle,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 20-30%
20181351V1565,2018,1351V1565,2,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
2018135211614,2018,135211614,2,1,Passenger,Female,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
2018135250372,2018,135250372,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135250372,2018,135250372,2,2,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 30-40%
2018135251260,2018,135251260,1,1,Driver or rider,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135260124,2018,135260124,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135260444,2018,135260444,2,1,Driver or rider,Female,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135261088,2018,135261088,1,1,Pedestrian,Male,NA,66 - 75,Slight,Crossing on pedestrian crossing facility,Unknown or other,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,Most deprived 10%
2018135270568,2018,135270568,2,1,Passenger,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
2018135271226,2018,135271226,1,1,Pedestrian,Female,NA,56 - 65,Serious,Crossing on pedestrian crossing facility,Crossing from driver's offside,Not car passenger,Not a bus or coach passenger,No / Not applicable,Pedestrian,Urban area,More deprived 20-30%
2018135280659,2018,135280659,1,1,Driver or rider,Male,NA,36 - 45,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
2018135280659,2018,135280659,1,2,Passenger,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,More deprived 40-50%
2018135281547,2018,135281547,1,1,Passenger,Male,NA,16 - 20,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Seated passenger,No / Not applicable,Bus or coach occupant (17 or more pass seats),Urban area,Less deprived 20-30%
2018135281547,2018,135281547,1,2,Passenger,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Seated passenger,No / Not applicable,Bus or coach occupant (17 or more pass seats),Urban area,Less deprived 20-30%
2018135281547,2018,135281547,3,3,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Data missing or out of range,Data missing or out of range
2018135281547,2018,135281547,3,4,Passenger,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Front seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135281547,2018,135281547,3,5,Passenger,Male,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Rear seat passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135281637,2018,135281637,1,1,Driver or rider,Female,NA,26 - 35,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
2018135281708,2018,135281708,1,1,Driver or rider,Male,NA,21 - 25,Slight,Not a Pedestrian,Not a Pedestrian,Not car passenger,Not a bus or coach passenger,No / Not applicable,Car occupant,Urban area,Most deprived 10%
